Symbol	Ensembl Transcript ID	CDS Length
ERBB2IP	uc010iwx.1	4248
FUS	uc002ebi.1	1584
EMX2	uc001ldh.2	759
TF	uc003epu.1	2097
CXorf56	uc004erk.1	669
CLCN4	uc004csy.2	2283
C11orf72	uc001omi.1	756
ELAC2	uc002gnz.2	2481
NPR1	uc001fcs.2	3186
ASS1	uc010mza.1	1467
USP42	uc003sps.2	3948
FBX24	uc003uvn.1	657
SEC23IP	uc001leu.1	3003
POLR2J	uc003uzp.1	354
UQCRC1	uc003cuc.1	1446
C1orf71	uc001ibp.1	2178
POLG	uc002bns.2	3720
ADAM23	uc002vbq.1	2499
TFR2	uc003uvv.1	2406
RICTOR	uc003jlp.1	5127
GRXCR2	uc003lns.1	747
AK095530	uc002axc.1	327
C19orf55	uc002obq.1	1278
IDO2	uc010lwy.1	1263
SNAPC1	uc001xft.1	1107
GNA11	uc002lxd.1	1080
CCDC52	uc003eag.2	2568
FSIP1	uc001zki.1	1746
UPF3A	uc001vup.1	1431
IGSF11	uc003ebw.1	1296
BFP/ZNF179	uc002gvv.1	1596
LAGE3	uc004fln.1	432
CHST6	uc002fef.1	1188
UNC13B	uc003zwr.1	4833
TTLL4	uc002viy.1	3600
ZNF687	uc001exq.1	3714
SDC2	uc003yhv.1	606
KIAA1812	uc001jrz.2	2994
COX7A2	uc003phv.1	252
LAMB4	uc010ljo.1	5286
KIAA0348	uc010kjp.1	1140
FAM24A	uc001lgv.1	318
GPHB5	uc010apu.1	273
LRRTM3	uc001jmz.1	1746
AHCYL2	uc003vou.1	1836
OR4C13	uc001nhb.1	930
EIF3EIP	uc003aug.1	1371
TCRBV9S1A1T	uc003vxf.2	339
DKFZp686K20216	uc010crn.1	621
HABP4	uc010msg.1	1242
TMEM125	uc009vwp.1	660
CNTN2	uc001hbr.1	3123
ASNSD1	uc002uqt.1	1932
KIAA0963	uc002lri.2	432
FUT4	uc001pez.1	1593
RP9	uc003tdm.1	666
BLP2	uc002bxk.1	549
ARAP1	uc001ost.1	4353
CDH8	uc002eog.1	2400
AGPS	uc002ull.2	1977
C4orf18	uc003ipq.2	1584
PP14571	uc002vyy.1	654
LOC147710	uc002ozk.1	357
PECI	uc003mwf.1	1185
UNG	uc001tnz.1	942
GSTP1	uc001omf.1	633
DCUN1D5	uc001phm.1	714
SLC9A3R1	uc002jlo.1	1077
LILRA6	uc002qek.1	1899
CHMP7	uc003xdc.2	1362
REM2	uc001whf.1	1023
white	uc010gpb.1	642
DNHD1	uc001mea.2	3069
FKBP4	uc001qkz.1	1380
ZNF350	uc002pyd.1	1599
BST1	uc003goh.2	957
KISS1R	uc002lqk.2	1197
NCR2	uc003oqh.2	831
DEFB125	uc002wcw.1	471
UBE2W	uc003xzu.1	489
OR2T29	uc001ieo.1	930
KRT15	uc002hwy.1	1371
C10orf99	uc001kcu.1	246
SCN11A	uc010hhm.1	5376
GFI1	uc001dou.2	1269
AK057372	uc001pgc.1	426
FHL1	uc004ezo.1	972
OSGEP	uc001vxf.1	1008
GATA1	uc004dkq.2	1242
SMC6	uc002rcn.1	3276
LPIN3	uc010ggh.1	2559
RPL4	uc002apv.1	1284
RBPMS	uc003xib.1	660
PRPF3	uc001eum.2	2052
EMR1	uc002mfw.1	2661
SPATA19	uc001qgv.1	504
IRX3	uc002eht.1	1506
XCR1	uc003cpe.1	1002
ELFN1	uc010ksg.1	2487
RBM6	uc003cyc.1	3372
KLF4	uc004bdh.1	1515
C16orf71	uc002cxn.1	1563
UNC5CL	uc003opi.1	1557
SEBOX	uc002hbb.1	663
BTK	uc010nno.1	2082
KRCC1	uc010fhd.1	780
PRND	uc010gbg.1	531
SYTL5	uc004ddx.1	2259
C6orf27	uc003nxb.2	2676
PIGL	uc002gpv.1	759
KIAA1845	uc002vzn.1	1635
DNAJC30	uc003tys.1	681
HUS1	uc003tod.1	843
SFRS6	uc002xkj.1	1035
KIAA1416	uc003xuf.2	756
C17orf77	uc002jla.1	732
FXYD2	uc001prl.2	438
UIMC1	uc010jkh.1	2160
ZNF667	uc002qnd.1	1833
ZCCHC12	uc010nqj.1	1209
ATP7B	uc001vfw.1	4398
TFEC	uc003vhj.1	1044
C2orf78	uc002sjr.1	2769
POLD2	uc010kxz.1	1410
RG9MTD1	uc003duz.1	1212
DKFZp434O1216	uc010bru.1	213
ACOT2	uc001xon.2	1452
HIST1H4I	uc003niy.1	312
PPARGC1A	uc003gqs.1	2397
ETFA	uc002bbt.2	1002
ZNF146	uc010eev.1	879
POLRMT	uc002lpf.1	3693
MIA2	uc001wux.1	1965
HSD47	uc010boz.1	756
KLHL6	uc003flr.1	1866
HOXB5	uc002inr.1	810
NENF	uc001hjd.1	519
CUGBP1	uc001nfp.2	1545
ARGFX	uc003eef.1	948
PRSS22	uc002cry.1	954
CASC4	uc001ztp.1	1311
LOC338799	uc001ubf.1	441
GTSF1	uc001sgb.1	504
CUL4B	uc004esw.1	2742
CENPJ	uc001upt.2	4017
PITX1	uc010jea.1	945
AKIRIN1	uc001ccw.1	579
p53DINP1	uc003yhh.1	495
KIAA1670	uc003bmu.1	825
CELSR3	uc003cuf.1	12561
DNAJC9	uc001jtr.1	783
ZNF568	uc002ofc.1	1935
ITSN1	uc002yta.1	5166
LOC653486	uc002khc.2	288
C19orf2	uc002nsr.1	1608
EHBP1L1	uc001oeo.2	4572
DCTN1	uc002skx.1	3837
LIN28B	uc003pqv.1	753
TNKS2	uc001khp.1	3501
C1QBP	uc002gby.1	849
AK055145	uc001vsc.1	504
CADPS2	uc010lkp.1	3870
PACE4C	uc002bxf.1	384
SRMS	uc002yfi.1	1467
GJA9	uc009vvn.1	1548
CKLFSF2	uc010cdu.1	588
MGC24975	uc002mdb.1	1263
TRIM45	uc001egz.1	1743
TSP50	uc003cqe.1	1158
TCP1	uc003qsr.1	1671
TMED7	uc003krf.1	675
CMA1	uc001wpp.1	744
DKFZp564N2378	uc010ean.1	549
CENPL	uc001gjg.2	1173
PTCRA	uc003osx.1	846
FST	uc003jpd.1	1035
VWCE	uc001nra.1	2868
PAWR	uc001syx.1	1023
TBC1D3B	uc002hky.2	1650
KIAA1272	uc002wsa.1	1836
ABCC12	uc002efc.1	4080
LDLR	uc002mqk.2	2583
ASTN2	uc004bjs.1	4020
GPATCH8	uc002igw.1	4509
TANC2	uc002jal.2	5973
KIF4A	uc004dyg.1	3699
FAM161A	uc002sbm.2	2151
PGM1	uc001dbh.1	1689
FLJ00132	uc001ntp.1	1227
CPD	uc002hfb.1	4143
SNCAIP	uc003ksx.1	3051
DCT	uc010afh.1	1659
ANXA8	uc009xnn.1	1029
HLA-DOA	uc003ocr.1	753
DKFZp547D147	uc002nmo.2	618
OR11L1	uc001idn.1	969
UPK1B	uc003ecc.1	783
DNAJB4	uc001dij.1	1014
UGT1A8	uc002vup.1	1593
HIST1H4L	uc003njz.1	312
PECR	uc002vft.1	912
WFIKKN1	uc002cht.1	1647
HSPA2	uc001xhj.2	1920
KIAA0951	uc004ftf.1	1530
SERP1	uc003exy.1	201
SYDE2	uc009wcm.1	3585
C15orf60	uc002avq.1	801
CNTNAP3B	uc004abr.1	879
TACR2	uc001jpn.2	1197
SVOPL	uc003vue.1	1023
C6orf225	uc003pvs.1	243
NUP85	uc002jng.1	1971
CD177	uc002owi.1	1311
LGR5	uc001swl.1	2724
PIGG	uc003gak.2	2952
FLJ00056	uc001vzq.1	837
LOC126661	uc001cnw.2	438
DKFZp686G18222	uc003fxf.2	303
LRRC16B	uc001wlj.2	4119
BC137157	uc004dpp.2	372
RAB5A	uc003cbn.1	648
FLJ13224	uc001rkf.1	480
AK000709	uc003ick.1	390
USP9Y	uc004fst.1	7668
BC150552	uc010lzj.1	297
C7orf53	uc003vgm.1	396
PLEKHM3	uc002vcl.1	2286
LRP1B	uc002tvj.1	13800
XAF1	uc002gdn.1	906
KIAA1824	uc001xks.1	399
ANKDD1A	uc002aoa.1	1569
ABCG8	uc002rtq.1	2022
DAND5	uc002mwc.1	570
SPAG6	uc001iri.1	1530
LINCR	uc002swb.1	789
AK000028	uc003hvw.2	393
ZDHHC22	uc010asp.1	792
CCDC60	uc001txe.1	1653
THOC7	uc003dlt.2	615
KIAA0361	uc002gks.2	1083
OR8K3	uc001niq.1	939
TCTA	uc003cwv.2	312
DKFZp434O1230	uc003zki.1	390
GGTLC2	uc010gts.1	759
B2M	uc001zuc.1	360
LPPR4	uc001dse.1	2292
SQLE	uc003yrs.1	1725
SEPHS1	uc001imk.1	1179
GLIPR2	uc003zyz.1	465
PLRG1	uc003iny.1	1545
SPG7	uc002fnj.1	2388
ZNF614	uc002pyj.1	1758
PARD6G	uc002lny.1	1131
DKFZp762G166	uc001xku.1	1101
AB209061	uc002dtz.1	399
DKFZp761J2122	uc002qaa.2	1908
GRPEL2	uc003lqj.1	678
INPP5B	uc001ccg.1	2742
AX747174	uc003ooz.1	363
PPID	uc003iqc.1	1113
TRIM56	uc003uxq.1	2268
IL20RA	uc003qhj.1	1662
UBE2J1	uc010kcb.1	957
C1orf107	uc001hhr.1	2271
UTS2R	uc002ker.1	1170
SAFB2	uc002mcd.1	2862
C19orf22	uc002lqg.1	807
DNAJC25	uc004bfl.1	1083
KIAA0652	uc001nda.1	1653
KLRG1	uc001qvh.2	588
MS4A8B	uc001npv.1	753
FRAG1	uc009yed.1	948
E2F4	uc002erz.1	1242
CLEC4M	uc002mib.1	1200
KIAA0999	uc001ppy.1	3792
TAC1	uc003uop.2	390
GYPA	uc003ijo.2	453
TRAIP	uc003cxs.1	1410
KIAA0232	uc003gjr.2	4188
ERCC8	uc003jsm.2	1191
AK124079	uc003yzl.1	276
GPX4	uc002lrh.1	705
KIAA0368	uc004bfe.1	6054
GPR157	uc001apq.1	1008
OR52A1	uc001mac.1	939
C9orf30	uc004baw.1	828
CTAGE4	uc010lpc.1	2334
AF035281	uc003wfu.2	780
AK126420	uc001pqq.1	402
ALG9	uc001pmb.1	1836
BTBD10	uc001mkz.1	1428
SDK2	uc010dfm.1	5391
BAIAP3	uc002clk.1	3564
RABGGTB	uc001dgy.1	996
CARMA3	uc003asu.1	342
ANKRD40	uc002iso.1	1107
KRT74	uc001sap.1	1590
CALCOCO2	uc002iof.1	1341
ERRB2	uc001xsp.1	1500
SNCA	uc003hsp.1	423
BV13S6J2.1	uc003vyc.2	339
AK124129	uc002eiv.1	234
C2orf53	uc010eyu.1	1239
ESRRB	uc001xsr.1	1527
SLC48A1	uc001rqd.1	720
ARHGAP26	uc003lmu.1	2445
PRCD	uc002jrw.1	966
TDRD9	uc001yom.2	4149
KLRC4	uc001qye.1	477
HRAS	uc001lpv.1	570
JAGN1	uc003btt.2	552
BSDC1	uc001bvi.1	1425
RNF43	uc002iwf.1	2352
NDUFAF1	uc001znx.1	984
PHF12	uc002hdg.1	3015
FOLR2	uc009ytd.1	768
OR1L3	uc004bmt.1	975
LYZL6	uc002hkj.1	447
PLAC8L1	uc003lnv.1	534
SAGE	uc010nry.1	2457
WSB1	uc002gzd.1	1266
AX747372	uc002ukm.1	315
OSTN	uc003fss.1	402
PROS1	uc003drb.2	2031
SOCS4	uc001xbo.1	1323
PSMB8	uc003oce.1	831
DKFZp434F222	uc001ukq.1	1491
SDR39U1	uc001wpm.1	882
DDIT4L	uc003hvq.1	582
MAS1	uc003qsz.1	978
DKFZp564B0982	uc001hzr.1	522
CSHL1	uc002jda.1	669
TBCCD1	uc003fqg.1	1674
DKFZp571K2312	uc010mgb.1	1374
N-TAF1	uc010nle.1	681
DKFZp434A1923	uc001aef.1	1821
ZBTB7C	uc010dnv.1	1926
AP2S1	uc002pft.1	429
P15RS	uc002kze.1	831
VAT1	uc002icm.1	1182
SHANK3	uc003bne.1	5244
TUFM	uc002drh.2	1368
TCRBV20S1A1N2	uc003wbp.2	333
THEG	uc002lol.1	1140
KRT34	uc002hwm.1	1311
SGSM3	uc010gyd.1	2463
AK024906	uc002qvm.2	525
FOLR4	uc001pes.1	732
TOMM22	uc003awe.1	429
SOCS3	uc002jvl.1	678
CPO	uc002vby.1	1125
POP4	uc002nsf.1	663
BC127738	uc010lzh.1	486
MALL	uc002tfk.1	462
OR1B1	uc004bmr.1	957
PARK2	uc003qtx.2	1398
GPR124	uc003xkj.1	3996
TMEM132A	uc001nqi.1	3075
LCE1E	uc009wno.1	357
RUVBL2	uc002plr.1	1392
CGRRF1	uc001xay.1	999
ACPL2	uc003etu.1	1443
WNT10B	uc001rss.1	1170
BAIAP2L2	uc003auw.1	1590
ISCA1	uc004aop.1	390
C1orf125	uc001gmo.1	3039
RPAP1	uc001zod.1	4182
ST3Gal VI	uc003dsy.1	738
RPL27	uc002icj.1	411
NLRP9	uc002qly.1	2976
EPN1	uc002qlx.1	1989
SLC35A1	uc003pma.1	1014
GAL	uc001oob.1	372
SLC14A2	uc010dnj.1	2763
RDH11	uc001xjv.2	957
Pol mu	uc003tjw.1	624
AUH	uc004arf.2	1020
C14orf129	uc001yfj.2	420
MBD2	uc002lfg.1	1236
ABHD14B	uc003dcm.1	633
PIGT	uc002xoh.1	1737
ALS2CR4	uc002uyh.1	1221
SPHAR	uc001htk.2	192
hCG_2024410	uc009xxi.1	687
ALAS1	uc003dcy.1	1923
FOXO1	uc001uxl.2	1968
CRLF3	uc002hfr.2	1329
OR5W2	uc001nib.1	933
C20orf107	uc002xxy.1	822
FARS2	uc010jnv.1	1356
CCDC28A	uc003qie.1	825
KIAA1248	uc001vzb.1	936
OR13F1	uc004bbz.1	960
NPHP3	uc003epe.1	3993
LOC441956	uc002yje.1	420
TSEN54	uc002jof.1	1581
OR8B4	uc001qad.1	930
STH	uc002ijy.2	387
HMGXB4	uc003anl.1	1806
CBX2	uc002jxc.1	1599
TMEM49	uc002ixu.2	1221
ZC3H14	uc001xww.1	2211
FLJ00180	uc010bto.1	480
MOAT-B	uc010afm.1	2073
CRTAP	uc003cfl.2	1206
DDX50	uc001jou.1	2214
TBPL2	uc001xby.1	1128
STYXL1	uc003uej.2	942
JCLN	uc002dtr.2	504
EFCAB4A	uc001lrw.2	1395
BLVRB	uc002onw.2	621
DKFZp667B242	uc003ugg.1	1035
KIAA1626	uc001bas.1	912
BC068600	uc009vkd.1	267
MMP24	uc002xbu.1	1779
GRID1	uc001kdl.1	3030
BANF1	uc001ogo.1	270
HMBS	uc001puz.1	1086
FAM13A	uc003hse.1	3072
SLC25A24	uc001dvn.2	1434
C14orf50	uc001xhl.1	1269
AX747375	uc002oes.1	261
MRO	uc010dpa.1	789
BC033739	uc002fle.1	765
SLC25A15	uc001uxn.1	906
ACER3	uc009yum.1	804
CCDC129	uc003tcj.1	3135
FAM84B	uc003yrz.1	933
TDP1	uc001xxy.1	1827
C16orf78	uc002efr.1	798
C11orf57	uc001pmw.2	882
ARHGAP8	uc003bfd.1	1932
BC148245	uc010btz.1	408
RFK	uc004akd.2	489
ZFYVE9	uc001cto.1	4278
WIBG	uc001sif.1	615
GBA2	uc003zxw.1	2784
HSD17B13	uc003hqo.1	903
NDUFB3	uc002uwx.2	297
KRTAP5-11	uc001oqu.1	471
GRIN3A	uc004bbp.1	3348
FMNL1	uc002iin.1	3303
SEPT7	uc010kxb.1	1311
GNLY	uc002sql.2	438
GRAMD1C	uc003eaq.2	1989
ZNF165	uc003nkg.1	1458
cytochrome b	uc004coy.2	561
FAM83A	uc003ypv.1	1305
USP38	uc003ijb.1	3129
ARMCX3	uc010nns.1	1140
ARHGDIB	uc001rcq.1	606
ACSM6	uc001kke.1	1302
KIAA1783	uc002jon.1	3585
AK1	uc004bsm.2	585
ACSS3	uc001szl.1	2061
KIAA1045	uc003zvr.1	1203
C4B	uc003nyy.2	5235
DNAJB13	uc001ouo.1	951
NEU2	uc002vtu.1	1143
HIST1H4B	uc003nfr.1	312
FAM20B	uc001gmc.1	1230
HES2	uc001amx.1	522
FAM73B	uc004bxa.1	1782
AMPH	uc003tgu.1	2088
INTS7	uc001hiw.1	2889
ZNF775	uc003whf.1	1614
UCKL1	uc010gkn.1	1647
C10orf97	uc001iod.1	1338
HNRNPH1	uc003mkf.2	1350
ALDH1L1	uc003eim.1	2709
C1orf161	uc001egc.1	1089
hCG_25025	uc001yid.1	321
COX16	uc001xmb.1	321
SLC23A1	uc003leg.1	1809
RBM4B	uc001oja.1	1080
THAP4	uc002wbt.1	1734
KRTAP10-5	uc002zfl.1	816
KIAA0831	uc001xbx.1	1479
OGFRL1	uc003pfx.1	1356
PPP1R15A	uc002pky.2	2025
C12orf11	uc001rhk.2	2121
C1orf96	uc001htl.2	813
BMF	uc001zkv.1	555
MAN1A1	uc003pym.1	1962
RBMY1A1	uc004fuu.2	1491
TGIF2LY	uc010nwf.1	558
NKAIN1	uc001bsn.1	492
KIAA0303	uc003juv.1	1509
NLGN4X	uc010ndi.1	2562
ALOX12	uc002gdx.2	1992
IFNE	uc003zpg.1	627
RB1CC1	uc003xre.2	4785
KIAA1636	uc002jam.1	1017
NEIL2	uc003wue.1	999
EIF4E	uc003hue.1	654
SIGLEC15	uc002lbl.1	987
ABHD5	uc003cmx.1	1050
EXOC4	uc003vrk.1	2925
CIP29	uc001sht.1	633
HEATR5A	uc001wrf.2	5262
PRAMEF14	uc009vnt.1	1281
BATF2	uc001ocf.1	825
SLC29A4	uc003sod.1	1593
HTR4	uc010jgw.1	2799
ABS	uc003mhp.1	1476
EMB	uc003jom.1	984
TRAF6	uc001mwr.1	1569
LPAR3	uc001dkl.2	1062
fgf-20	uc010lsw.1	315
LMNB1	uc003kud.1	1761
CKMT1B	uc001zsc.1	1254
FAM19A5	uc003bim.2	399
SHE	uc001ffb.1	1488
C12orf55	uc001teq.2	2076
PIK3C2B	uc001haw.1	4905
C15orf15	uc002acn.1	492
USP15	uc001src.1	2946
TCEAL2	uc010nnx.1	684
C5orf39	uc003jnf.1	582
PTGER2	uc001wzr.1	1077
SLC31A1	uc004bgu.1	573
IFT172	uc002rku.1	5250
GFOD1	uc003nat.1	1173
ADAM29	uc003iuc.1	2463
ST7L	uc001ecd.1	1728
BET3L	uc003pww.1	294
C15orf26	uc002bgb.1	906
PKN3	uc004bvw.1	2670
CNTD1	uc002ibm.2	993
COMMD1	uc002sbp.1	573
FOXN3	uc001xxo.2	1473
NTRK2	uc004anz.1	2517
OCM2	uc003upc.1	330
MFGE8	uc002bng.2	1164
PFKFB2	uc001hfg.1	1518
TAS2R4	uc003vwq.1	900
ENTHD1	uc003ayg.1	1824
PRMT5	uc001whm.1	1914
OR5K4	uc003dsk.1	966
LCLAT1	uc002rnj.1	1245
TSKU	uc009yuk.1	1062
PDLIM1	uc001kkh.1	990
KRTCAP3	uc002rks.1	723
KCNS2	uc003yin.1	1434
RNF126	uc010drs.1	936
CEP63	uc003eqo.1	2112
Na+ channel	uc002udv.1	351
CLIC4	uc001bjo.1	762
ACR	uc003bnh.2	1266
MIR cl-7	uc010erp.1	768
KLK7	uc002puo.1	762
ALOX5AP	uc001utf.1	486
RIPK3	uc001wpb.1	1557
C19orf18	uc002qqv.1	648
TAS2R9	uc001qyx.1	939
BIRC6	uc010ezu.1	14574
ZNF16	uc003zet.1	2049
RFT1	uc003dgj.1	1626
SLC8A2	uc002pgx.1	2766
TACC1	uc010lwp.1	2418
ITGAD	uc010cap.1	3489
SAMHD1	uc002xgh.1	1881
SH3PXD2B	uc003mbr.1	2736
C20orf85	uc002xyv.1	414
EPC2	uc002twq.1	2292
AX721097	uc002fji.2	381
ATP13A2	uc001baa.1	3543
KRT4	uc001saz.1	1785
CAPNS1	uc002odi.1	969
MDM2	uc001sui.1	1494
SNX18	uc003jpj.2	1887
PCDH20	uc001vid.2	2856
KCNK9	uc003yvf.1	1125
OR2C1	uc002cuw.1	939
KLHDC3	uc003otl.1	1149
IPPK	uc004asl.1	1476
EFHD2	uc001awh.1	723
GALR3	uc003aub.1	1107
ABCA6	uc002jhw.1	4854
NBEA	uc001uvb.1	8832
AKT2	uc002onf.1	1446
CLDN3	uc003tzg.2	663
DKFZp781G0119	uc002llj.2	1233
CR626432	uc001tuy.1	441
EGFR	uc003tqk.1	3633
RBM16	uc003qqa.1	3816
BC051442	uc001ykj.2	375
ZDHHC3	uc003cof.1	984
CR626610	uc003jpu.1	762
SLC25A4	uc003ixd.1	897
CYB5B	uc002exg.1	453
CPXM1	uc002wgu.1	2205
NDRG1	uc003yug.1	1185
OR5L2	uc001nhy.1	936
AK127191	uc002dml.1	387
MRPL46	uc002bmj.2	840
FARP2	uc002wbi.1	3165
FMO6P	uc001ghj.1	828
DKFZp762F1415	uc003siz.2	2172
LDHAL6B	uc002agb.1	1146
MAPKAPK3	uc003day.1	1149
NCAM2	uc002yld.1	2514
PRKD2	uc002pfh.1	2637
ZFP36L1	uc001xkh.1	1017
CYSLTR1	uc010nmc.1	1014
