Symbol	Ensembl Transcript ID	CDS Length
CENPL	uc001gjg.4	1173
PTCRA	uc021yzp.1	891
FST	uc003jpd.3	1035
VWCE	uc001nra.3	2868
PAWR	uc001syx.3	1023
TBC1D3B	uc002hky.2	1650
ABCC12	uc002efc.1	4080
SYCE3	uc003bmj.4	267
LDLR	uc002mqk.4	2583
ASTN2	uc004bjt.2	3867
CXCR2P1	uc002vgx.3	420
TAB2	uc003qmj.3	2082
GPATCH8	uc002igw.2	4509
TANC2	uc002jal.4	5973
KIF4A	uc004dyg.3	3699
FAM161A	uc002sbm.4	2151
PGM1	uc010ooz.2	1743
CPD	uc002hfb.2	4143
SNCAIP	uc003ksx.1	3051
DCT	uc010afh.3	1659
ANXA8	uc010qfr.3	1098
HLA-DOA	uc003ocr.3	753
OR11L1	uc001idn.1	969
UPK1B	uc003ecc.3	783
DNAJB4	uc001dij.3	1014
UGT1A8	uc002vup.3	1593
HIST1H4L	uc003njz.3	312
GOLGA8EP	uc001yvu.3	1293
PECR	uc002vft.3	912
WFIKKN1	uc002cht.1	1647
HSPA2	uc001xhj.3	1920
SERP1	uc003exy.3	201
SYDE2	uc009wcm.3	3585
C15orf60	uc002avq.3	801
CNTNAP3B	uc004ada.2	3867
BC016978	uc001fot.1	252
TACR2	uc001jpn.2	1197
SVOPL	uc011kqh.2	1479
NUP85	uc002jng.1	1971
CD177	uc002owi.3	1311
EDDM3B	uc021ron.1	444
LGR5	uc001swl.4	2724
PIGG	uc003gak.4	2952
LRRC16B	uc001wlj.2	4119
BC137157	uc004dpp.2	372
RAB5A	uc003cbn.3	648
FLJ13224	uc001rkf.1	480
DCAF11	uc001wlv.3	1641
USP9Y	uc004fst.1	7668
AB209621	uc031rzy.1	291
PLEKHM3	uc002vcl.2	2286
LRP1B	uc002tvj.1	13800
XAF1	uc002gdn.3	906
TMEM244	uc003qbs.3	387
ENKUR	uc001isg.2	771
ANKDD1A	uc002aoa.3	1569
ABCG8	uc002rtq.3	2022
DAND5	uc002mwc.1	570
SPAG6	uc001iri.3	1530
LOC100133161	uc009ybr.3	1170
ZBED6CL	uc003wgy.3	711
ZDHHC22	uc010asp.3	792
CCDC60	uc001txe.3	1653
THOC7	uc003dlt.4	615
OR8K3	uc010rjf.2	939
TCTA	uc003cwv.4	312
GGTLC2	uc010gts.2	759
B2M	uc010uek.1	369
C6orf141	uc011dwo.2	735
LPPR4	uc001dse.3	2292
SQLE	uc011liq.2	1725
SEPHS1	uc001imk.3	1179
GLIPR2	uc003zyz.3	465
PLRG1	uc003iny.3	1545
SPG7	uc002fnj.3	2388
ZNF614	uc002pyj.3	1758
ZMYM6NB	uc001bye.3	465
PARD6G	uc002lny.3	1131
AB209061	uc002dtz.1	399
PTCHD3P1	uc001iuq.2	246
GRPEL2	uc003lqj.3	678
INPP5B	uc001ccg.1	2742
AX747174	uc003ooz.2	363
PPID	uc003iqc.3	1113
TRIM56	uc003uxq.3	2268
IL20RA	uc003qhj.3	1662
UBE2J1	uc003pnc.3	957
UTS2R	uc010wvl.2	1170
SAFB2	uc002mcd.3	2862
DNAJC25	uc004bfl.3	1083
AK293147	uc021ufe.1	459
KLRG1	uc001qvh.3	588
NEURL3	uc010yuo.2	675
LOC100130155	uc022avc.2	273
E2F4	uc002erz.3	1242
CLEC4M	uc010dvt.3	1200
TAC1	uc003uop.4	390
GYPA	uc003ijo.4	453
TRAIP	uc003cxs.1	1410
LOC729852	uc011jxf.2	414
KIAA0232	uc003gjr.4	4188
ERCC8	uc003jsm.3	1191
GPX4	uc021umh.1	705
KIAA0368	uc004bfe.1	6054
MSS51	uc009xrh.3	1452
GPR157	uc001apq.1	1008
OR52A1	uc010qyy.2	939
FAM199X	uc004elw.3	1167
CTAGE4	uc010lpc.3	2334
AF035281	uc003wfu.3	780
ALG9	uc010rwn.2	1698
BTBD10	uc010rcl.2	1452
SDK2	uc010dfm.3	6519
BAIAP3	uc002clk.2	3564
RABGGTB	uc001dgy.2	996
ANKRD40	uc002iso.3	1107
KRT74	uc001sap.1	1590
LOC100289673	uc021ycf.2	327
CALCOCO2	uc010wlr.3	1413
SNCA	uc003hsq.3	423
BV13S6J2.1	uc011krx.2	339
SPATS2L	uc010zhc.2	1767
C2orf53	uc021vfb.1	1239
ESRRB	uc001xsr.3	1527
SLC48A1	uc001rqd.3	441
ARHGAP26	uc011dbj.2	2445
PRCD	uc002jrw.1	966
TDRD9	uc001yom.4	4149
CDK16	uc011mll.2	1713
KLRC4	uc001qye.3	477
HRAS	uc001lpv.3	570
JAGN1	uc003btt.4	552
BSDC1	uc001bvi.3	1425
BC148262	uc010amc.2	291
RNF43	uc002iwf.3	2352
NDUFAF1	uc001znx.3	984
PHF12	uc002hdg.1	3015
KRTAP4-8	uc010wfo.2	558
FOLR2	uc009yte.3	768
OR1L3	uc011lzb.2	975
LYZL6	uc002hkj.2	447
PLAC8L1	uc003lnv.3	534
WSB1	uc002gzd.1	1266
AX747372	uc002ukm.1	315
OSTN	uc011bsn.2	402
PROS1	uc003drb.4	2031
SOCS4	uc021rti.1	1323
PSMB8	uc003oce.3	831
SDR39U1	uc001wpm.3	882
DDIT4L	uc003hvq.3	582
MAS1	uc003qsz.3	978
LINC00896	uc002zrt.2	420
CSHL1	uc002jda.1	669
TBCCD1	uc003fqg.3	1674
ZBTB7C	uc010dnv.3	1926
AP2S1	uc002pft.1	429
VAT1	uc002icm.1	1182
SHANK3	uc031ryd.1	5154
TUFM	uc002drh.2	1368
NPYY1	uc021xtv.1	765
TCRBV20S1A1N2	uc003wbp.2	333
THEG	uc002lol.3	1140
KRT34	uc002hwm.3	1311
SGSM3	uc003ayu.1	2250
FOLR4	uc021qou.1	753
TOMM22	uc003awe.3	429
SOCS3	uc002jvl.2	678
CPO	uc002vby.2	1125
POP4	uc002nsf.2	663
MALL	uc002tfk.3	462
OR1B1	uc011lyz.2	957
PARK2	uc031sqz.1	1593
GPR124	uc003xkj.3	4017
TMEM132A	uc001nqi.3	3075
LCE1E	uc021ozg.1	357
RUVBL2	uc002plr.1	1392
CGRRF1	uc001xay.3	999
ACPL2	uc003etu.3	1443
PIANP	uc021quc.1	849
WNT10B	uc001rss.3	1170
GTF2IRD2P1	uc003txs.1	1737
BAIAP2L2	uc003auw.3	1590
ISCA1	uc004aop.3	390
RPAP1	uc001zod.3	4182
NXPE2	uc009yyy.2	1680
RPL27	uc002icj.3	411
NLRP9	uc002qly.3	2976
EPN1	uc002qlx.3	1989
SLC35A1	uc011dzj.2	1014
GAL	uc001oob.3	372
SLC14A2	uc010dnj.3	2763
RDH11	uc001xjv.4	957
SERF2-C15ORF63	uc001ztb.3	528
LSMEM2	uc003cyz.3	495
AUH	uc004arf.4	1020
MBD2	uc002lfg.2	1236
ABHD14B	uc003dcm.3	633
PIGT	uc002xoh.3	1737
SPHAR	uc001htk.4	192
ALAS1	uc011bec.2	1974
FOXO1	uc001uxl.4	1968
CRLF3	uc002hfr.4	1329
PPP1R17	uc003tcl.3	468
OR5W2	uc010rir.2	933
FARS2	uc010jnv.1	1356
CCDC28A	uc003qie.3	825
OR13F1	uc011lvm.2	960
NPHP3	uc003epe.2	3993
PYURF	uc003hru.2	345
TSEN54	uc002jof.1	1581
OR8B4	uc010sak.2	930
STH	uc002ijy.2	387
HMGXB4	uc003anl.3	1806
CBX2	uc002jxc.3	1599
ZC3H14	uc001xww.3	2211
CXADRP2	uc010tzk.1	579
RBMXL1	uc021opo.1	1173
CRTAP	uc003cfl.4	1206
DDX50	uc001jou.3	2214
TBPL2	uc001xby.3	1128
STYXL1	uc003uel.3	942
EFCAB4A	uc001lrw.2	1395
BLVRB	uc002onw.2	621
CCZ1B	uc003sqx.2	1449
MMP24	uc002xbu.2	1938
GRID1	uc001kdl.1	3030
BANF1	uc001ogo.3	270
HMBS	uc001puz.1	1086
FAM13A	uc003hse.2	3072
SLC25A24	uc001dvn.5	1434
AX747375	uc002oes.2	261
MRO	uc010dpa.3	789
BC033739	uc002fle.1	765
SLC25A15	uc001uxn.3	906
ACER3	uc009yum.1	804
CCDC129	uc011kae.3	3189
FAM84B	uc003yrz.2	933
TDP1	uc001xxy.3	1827
C16orf78	uc002efr.3	798
C11orf57	uc001pmw.4	882
ARHGAP8	uc003bfj.3	1395
RFK	uc004akd.2	468
ZFYVE9	uc001cto.4	4278
WIBG	uc001sif.1	615
GBA2	uc011lpd.2	2802
HSD17B13	uc003hqo.2	903
NDUFB3	uc031rqp.1	297
KRTAP5-11	uc001oqu.3	471
GRIN3A	uc004bbp.2	3348
FMNL1	uc002iin.3	3303
FLJ41200	uc003zlc.2	252
CHTOP	uc001fcn.2	750
SEPT7	uc010kxc.3	1308
GNLY	uc010ysx.2	519
GRAMD1C	uc003eaq.4	1989
ZNF165	uc021yro.1	1458
FAM83A	uc003ypv.3	1305
USP38	uc003ijb.3	3129
ARMCX3	uc004ehz.1	1140
ARHGDIB	uc001rcq.1	606
AK1	uc004bsm.4	585
ACSS3	uc001szl.1	2061
KIAA1045	uc003zvq.3	1203
C4B	uc011jpm.2	5235
DNAJB13	uc001ouo.3	951
MUC22	uc021yuh.1	5331
NEU2	uc010zmn.2	1143
TRIM77	uc010rtw.2	1353
HIST1H4B	uc003nfr.3	312
FAM20B	uc001gmc.3	1230
HES2	uc001amx.3	522
FAM73B	uc004bxa.3	1782
CYP4F24P	uc010xor.1	576
NEDD8-MDP1	uc021rrm.1	582
AMPH	uc003tgu.3	2088
INTS7	uc001hiw.2	2889
ZNF775	uc003whf.1	1614
USP17L7	uc031tag.1	1593
UCKL1	uc010gkn.3	1647
HNRNPH1	uc021yjd.1	1419
ALDH1L1	uc031sbp.1	2739
COX16	uc001xmb.3	321
SLC23A1	uc003leg.3	1809
RBM4B	uc001oja.3	1080
THAP4	uc002wbt.3	1734
KRTAP10-5	uc002zfl.1	816
OGFRL1	uc003pfx.1	1356
PPP1R15A	uc002pky.4	2025
BMF	uc001zkv.4	555
MAN1A1	uc003pym.2	1962
TGIF2LY	uc022ciw.1	558
NKAIN1	uc010ogd.2	624
NLGN4X	uc010ndi.3	2562
ALOX12	uc002gdx.4	1992
IFNE	uc003zpg.3	627
LOC100288332	uc010uzu.3	1053
RB1CC1	uc003xre.4	4785
NEIL2	uc003wug.2	999
TMEM255B	uc001vuh.3	981
EIF4E	uc011ceb.1	747
SIGLEC15	uc002lbl.1	987
ABHD5	uc003cmx.3	1050
EXOC4	uc003vrk.3	2925
HEATR5A	uc001wrf.4	6141
BATF2	uc021qlb.1	948
SLC29A4	uc003sod.3	1593
HTR4	uc021yfj.1	1287
GUSBP5	uc011chr.3	426
URGCP	uc003tiw.3	2796
EMB	uc003jom.3	984
TRAF6	uc001mwq.2	1569
LPAR3	uc001dkl.2	1062
LMNB1	uc003kud.2	1761
CKMT1B	uc010uds.2	1347
FAM19A5	uc003bim.4	399
SHE	uc001ffb.3	1488
IFIT1B	uc001kgh.3	1425
C12orf55	uc001teq.2	2076
PIK3C2B	uc001haw.3	4905
AKR1E2	uc001ihi.4	963
USP15	uc001src.2	2946
TCEAL2	uc004eip.3	684
PTGER2	uc001wzr.3	1077
FAM184B	uc003gpm.4	3183
SLC31A1	uc004bgu.3	573
IFT172	uc002rku.3	5250
GFOD1	uc003nat.2	1173
ADAM29	uc021xuo.1	2463
ST7L	uc001ecd.3	1728
C15orf26	uc002bgb.3	906
PKN3	uc004bvw.3	2670
CNTD1	uc002ibm.4	993
COMMD1	uc002sbp.3	573
FOXN3	uc001xxo.4	1473
NTRK2	uc004anz.1	2517
OCM2	uc003upc.3	330
MFGE8	uc002bng.4	1164
PFKFB2	uc001hfg.3	1518
TAS2R4	uc003vwq.1	900
ENTHD1	uc003ayg.3	1824
PRMT5	uc001whm.1	1914
OR5K4	uc011bgv.2	966
DCAF4	uc001xng.3	1488
LCLAT1	uc002rnj.3	1245
TSKU	uc021qno.1	1062
PDLIM1	uc001kkh.4	990
KRTCAP3	uc002rks.3	723
KCNS2	uc003yin.3	1434
RNF126	uc010drs.3	936
CEP63	uc003eqo.1	2112
CLIC4	uc001bjo.2	762
ACR	uc003bnh.4	1266
KLK7	uc002puo.3	762
ALOX5AP	uc010tdr.2	657
RIPK3	uc001wpb.3	1557
C19orf18	uc002qqv.3	648
TAS2R9	uc001qyx.3	939
BIRC6	uc010ezu.3	14574
ZNF16	uc003zet.3	2049
RFT1	uc003dgj.3	1626
ELP6	uc003crk.3	801
SLC8A2	uc010ele.3	2994
TACC1	uc010lwp.3	2418
ITGAD	uc010cap.1	3489
SAMHD1	uc002xgh.2	1881
SH3PXD2B	uc003mbr.3	2736
C20orf85	uc002xyv.3	414
EPC2	uc010zbt.2	2424
ASIC5	uc003ipe.1	1518
ATP13A2	uc001baa.2	3543
KRT4	uc031qhk.1	1563
CAPNS1	uc002odi.1	969
MDM2	uc001sui.4	1494
SNX18	uc003jpj.4	1887
PCDH20	uc001vid.4	2856
KCNK9	uc003yvf.1	1125
OR2C1	uc002cuw.1	939
KLHDC3	uc003otl.3	1149
IPPK	uc004asl.1	1476
EFHD2	uc001awh.2	723
GALR3	uc003aub.1	1107
ABCA6	uc002jhw.1	4854
NBEA	uc021rid.1	8841
AKT2	uc002onf.3	1446
CLDN3	uc003tzg.4	663
EGFR	uc003tqk.3	3633
ZDHHC3	uc003cod.3	984
SLC25A4	uc003ixd.3	897
CYB5B	uc002exg.1	453
TESPA1	uc001sgn.4	1566
CPXM1	uc002wgu.3	2205
NDRG1	uc003yug.2	1185
CDHR4	uc010hkz.3	2367
OR5L2	uc001nhy.1	936
ZNF285	uc010xxa.2	1794
AK127191	uc002dml.1	387
MRPL46	uc002bmj.2	840
FARP2	uc002wbi.2	3165
FMO6P	uc001ghj.1	828
LDHAL6B	uc002agb.4	1146
MAPKAPK3	uc003day.2	1149
NCAM2	uc002yld.2	2514
PRKD2	uc010xye.2	2667
ZFP36L1	uc021rve.1	1224
CYSLTR1	uc004edb.3	1014
OR4C3	uc010rhv.2	990
HIST1H2AJ	uc003njn.1	387
CCNB2	uc002afz.3	1197
ZNF10	uc009zzb.3	1722
TMEM175	uc003gbq.3	1515
FAM134A	uc002vjw.4	1632
TIGD4	uc021xtf.1	1539
PCNP	uc003dva.3	537
TBC1D3G	uc002hmm.4	1650
SLX1B-SULT1A4	uc002dsw.3	888
CREB1	uc002vcc.3	1026
C9orf57	uc004aip.3	486
NAA38	uc003vjg.3	291
TMPRSS3	uc002zbb.3	1365
C4orf32	uc003iah.2	399
LAT	uc010vdj.2	810
LOC392196	uc003wvb.2	456
KCNA3	uc001dzv.1	1728
SKIV2L2	uc003jpy.4	3129
ROPN1B	uc003eih.3	639
CDT1	uc002flu.3	1641
FKSG29	uc010afy.1	393
ZHX2	uc003ypk.1	2514
CD28	uc002vah.4	663
ZNF624	uc010cpi.2	2598
SEPT2	uc010zop.2	1191
SOHLH2	uc001uvj.3	1278
MCOLN3	uc001dkp.3	1662
MASP2	uc001aru.3	2061
ZNRF3	uc003aeg.3	2811
GPATCH3	uc001bne.3	1578
AGL	uc001dsi.1	4599
QRICH2	uc002jrd.1	4992
PRR20B	uc010thg.1	666
PSD4	uc002tjc.3	3171
CCNB1IP1	uc001vwv.4	834
ENPP7	uc002jxa.3	1377
LOC100289187	uc022aib.1	666
OBFC1	uc001kxl.3	1107
KCNG3	uc002rsn.3	1311
C14orf79	uc001ypy.1	978
ENPEP	uc003iab.4	2874
